date,numday,pms_count,PMS_numkilled,MP_stories_total,AP_stories_total,TVShoot_stories_total
2000-10-19,292.0,0.0,0,0.0,0,0
2000-10-20,293.0,0.0,0,4.0853777,0,0
2000-10-21,294.0,0.0,0,1.327182,0,0
2000-10-22,295.0,0.0,0,1.3758136,0,1
2000-10-23,296.0,0.0,0,4.324446,0,0
2000-10-24,297.0,0.0,0,0.6784626,0,0
2000-10-25,298.0,0.0,0,1.1250703,0,0
2000-10-26,299.0,0.0,0,0.40501332,0,0
2000-10-27,300.0,0.0,0,2.43508,0,0
2000-10-28,301.0,0.0,0,0.43090278,0,0
2000-10-29,302.0,0.0,0,5.6082625,0,0
2000-10-30,303.0,0.0,0,2.1269312,0,2
2000-10-31,304.0,0.0,0,0.6784626,0,0
2000-11-01,305.0,0.0,0,0.0,0,2
2000-11-02,306.0,0.0,0,2.0542762,0,0
2000-11-03,307.0,0.0,0,0.65540355,0,1
2000-11-04,308.0,0.0,0,0.56253517,0,0
2000-11-05,309.0,0.0,0,3.4902651,0,0
2000-11-06,310.0,0.0,0,2.557834,1,1
2000-11-07,311.0,0.0,0,2.1269312,1,0
2000-11-08,312.0,0.0,0,6.99155,0,0
2000-11-09,313.0,0.0,0,1.1250703,0,0
2000-11-10,314.0,0.0,0,3.4541132,0,0
2000-11-11,315.0,0.0,0,0.65540355,0,0
2000-11-12,316.0,0.0,0,0.40501332,0,0
2000-11-13,317.0,0.0,0,0.0,0,0
2000-11-14,318.0,0.0,0,0.0,0,0
2000-11-15,319.0,0.0,0,0.0,0,0
2000-11-16,320.0,0.0,0,1.758679,0,0
2000-11-17,321.0,0.0,0,4.324446,0,1
2000-11-18,322.0,0.0,0,0.0,0,0
2000-11-19,323.0,0.0,0,1.327182,0,0
2000-11-20,324.0,0.0,0,0.0,0,0
2000-11-21,325.0,0.0,0,4.8869815,0,0
2000-11-22,326.0,0.0,0,0.0,0,0
2000-11-23,327.0,0.0,0,0.0,0,0
2000-11-24,328.0,0.0,0,2.1269312,0,0
2000-11-25,329.0,0.0,0,0.0,0,0
2000-11-26,330.0,0.0,0,3.8591266,0,1
2000-11-27,331.0,0.0,0,2.654364,1,0
2000-11-28,332.0,0.0,0,0.6784626,0,0
2000-11-29,333.0,0.0,0,0.0,0,0
2000-11-30,334.0,0.0,0,0.0,0,0
2000-12-01,335.0,0.0,0,0.56253517,0,0
2000-12-02,336.0,0.0,0,1.327182,0,0
2000-12-03,337.0,0.0,0,4.9396067,0,0
2000-12-04,338.0,0.0,0,3.4541132,0,0
2000-12-05,339.0,0.0,0,0.0,0,0
2000-12-06,340.0,0.0,0,0.0,0,0
2000-12-07,341.0,0.0,0,0.0,0,0
2000-12-08,342.0,0.0,0,1.363334,0,0
2000-12-09,343.0,0.0,0,1.327182,0,0
2000-12-10,344.0,0.0,0,6.9433284,0,0
2000-12-11,345.0,0.0,0,0.0,0,0
2000-12-12,346.0,0.0,0,0.0,0,0
2000-12-13,347.0,0.0,0,0.0,0,0
2000-12-14,348.0,0.0,0,0.0,0,0
2000-12-15,349.0,0.0,0,1.363334,0,0
2000-12-16,350.0,0.0,0,0.0,0,0
2000-12-17,351.0,0.0,0,1.327182,0,0
2000-12-18,352.0,0.0,0,0.0,0,0
2000-12-19,353.0,0.0,0,1.2409978,0,0
2000-12-20,354.0,0.0,0,0.43090278,0,0
2000-12-21,355.0,0.0,0,1.327182,0,0
2000-12-22,356.0,0.0,0,4.324446,0,0
2000-12-23,357.0,0.0,0,0.0,0,0
2000-12-24,358.0,0.0,0,1.8897172,0,0
2000-12-25,359.0,0.0,0,0.0,0,0
